id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
1791,0.9429971097,female,20.0,w. nor. central,47.0,70100.0,47.0,22.0,46.0,38.8,very satisfied,,,,,
1792,2.35896796,female,12.0,w. nor. central,52.0,38555.0,50.0,32.0,28.0,68.0,very dissatisfied,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
1793,0.9429971097,male,12.0,w. nor. central,67.0,47317.5,45.0,,24.0,58.4,,,,,,
1794,0.9429971097,male,13.0,w. nor. central,29.0,47317.5,35.0,,35.0,34.1,mod. satisfied,strongly disagree,strongly agree,agree,strongly agree,strongly agree
1795,0.4714985548,female,13.0,w. nor. central,31.0,6309.0,36.0,50.0,45.0,24.6,very satisfied,strongly agree,,disagree,disagree,neither agree nor disagree
1796,0.9429971097,male,16.0,w. nor. central,36.0,84120.0,73.0,56.0,44.0,84.0,mod. satisfied,,,,,
1797,0.9429971097,female,18.0,w. nor. central,64.0,57832.5,54.0,,35.0,62.9,mod. satisfied,strongly agree,strongly disagree,disagree,disagree,agree
1798,0.4714985548,female,16.0,w. nor. central,89.0,,,,46.0,,,agree,strongly agree,disagree,disagree,neither agree nor disagree
1799,0.4714985548,female,16.0,w. nor. central,63.0,57832.5,64.0,64.0,,84.2,very satisfied,,,,,
1800,0.4714985548,male,11.0,w. nor. central,24.0,22782.5,24.0,34.0,45.0,17.1,very dissatisfied,strongly agree,agree,agree,disagree,agree
1801,0.4714985548,female,14.0,w. nor. central,35.0,31545.0,45.0,45.0,,62.1,mod. satisfied,,,,,
1802,0.9429971097,female,13.0,w. nor. central,82.0,31545.0,53.0,,47.0,69.3,,strongly agree,agree,disagree,disagree,disagree
1803,0.9429971097,male,16.0,w. nor. central,66.0,84120.0,64.0,,46.0,84.2,mod. satisfied,agree,disagree,,disagree,agree
1804,0.9429971097,female,16.0,w. nor. central,47.0,98140.0,64.0,47.0,51.0,84.2,very satisfied,strongly agree,strongly disagree,disagree,disagree,disagree
1805,2.35896796,male,16.0,w. nor. central,53.0,70100.0,59.0,50.0,,75.5,very satisfied,,,,,
1806,1.414495664,female,17.0,w. nor. central,70.0,57832.5,74.0,39.0,,84.5,very satisfied,strongly agree,disagree,disagree,strongly disagree,agree
1807,1.17948398,female,16.0,w. nor. central,32.0,47317.5,61.0,55.0,60.0,80.9,very satisfied,,,,,
1808,0.4714985548,female,12.0,w. nor. central,26.0,14896.25,32.0,35.0,28.0,35.8,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
1809,0.9429971097,female,16.0,w. nor. central,35.0,84120.0,46.0,39.0,50.0,61.4,mod. satisfied,,,,,
1810,3.53845194,male,19.0,w. nor. central,59.0,112160.0,69.0,38.0,38.0,91.1,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,agree
1811,0.9429971097,male,14.0,w. nor. central,55.0,47317.5,49.0,51.0,,56.9,very satisfied,disagree,disagree,disagree,agree,agree
1812,0.9429971097,female,16.0,w. nor. central,41.0,84120.0,67.0,60.0,50.0,73.6,mod. satisfied,,,,,
1813,0.4714985548,male,14.0,w. nor. central,85.0,26287.5,64.0,25.0,,82.5,,agree,disagree,disagree,disagree,strongly agree
1814,0.4714985548,female,16.0,w. nor. central,50.0,47317.5,43.0,66.0,58.0,61.2,mod. satisfied,agree,disagree,disagree,agree,agree
1815,0.4714985548,male,12.0,w. nor. central,56.0,6309.0,27.0,,43.0,14.0,very satisfied,,,,,
1816,1.17948398,male,12.0,w. nor. central,77.0,22782.5,46.0,,46.0,39.9,,disagree,agree,agree,agree,agree
1817,0.4714985548,male,12.0,w. nor. central,49.0,26287.5,45.0,31.0,,38.8,mod. satisfied,,,,,
1818,0.4714985548,male,14.0,w. nor. central,57.0,70100.0,53.0,,63.0,69.3,mod. satisfied,strongly agree,disagree,disagree,disagree,agree
1819,0.4714985548,male,14.0,w. nor. central,66.0,11391.25,38.0,47.0,35.0,43.0,,agree,strongly disagree,disagree,strongly disagree,disagree
1820,0.4714985548,male,13.0,w. nor. central,56.0,7886.25,20.0,,43.0,10.6,very satisfied,,,,,
